,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Faanui,-16.48,-151.75,80.4,77,68,17.83,PF,1603752984
1,Antofagasta,-23.65,-70.4,60.8,72,90,13.87,CL,1603753336
2,Øksfjord,70.24,22.35,35.6,73,0,13.87,NO,1603753473
3,Jamestown,42.1,-79.24,45.0,93,90,4.7,US,1603752995
4,Havre-St-Pierre,50.23,-63.6,32.0,80,90,4.7,CA,1603753210
5,Bengkulu,-3.8,102.27,74.39,81,100,3.06,ID,1603753134
6,La Palma,33.85,-118.05,73.99,4,1,4.7,US,1603753473
7,Punta Arenas,-53.15,-70.92,50.0,65,20,23.04,CL,1603753130
8,Le Port,-20.94,55.29,71.6,83,18,8.05,RE,1603753473
9,Albany,42.6,-73.97,50.0,98,100,1.99,US,1603753473
10,Guánica,17.97,-66.91,82.0,70,34,6.85,PR,1603753474
11,Kutno,52.23,19.36,55.99,94,96,1.01,PL,1603753474
12,Vaiano,43.95,11.12,55.99,100,100,3.36,IT,1603753474
13,Port Elizabeth,-33.92,25.57,64.4,88,92,18.34,ZA,1603753474
14,Bluff,-46.6,168.33,54.0,70,56,5.01,NZ,1603753474
15,Vaini,-21.2,-175.2,75.2,88,75,10.29,TO,1603753474
16,La Roda,39.22,-2.15,39.99,79,3,9.64,ES,1603753474
17,Souillac,-20.52,57.52,71.6,78,75,8.05,MU,1603753195
18,Samarai,-10.62,150.67,81.9,81,96,9.24,PG,1603753474
19,Shimoda,34.67,138.95,57.0,80,19,1.99,JP,1603753475
20,George Town,5.41,100.34,75.2,88,20,5.12,MY,1603753473
21,Rikitea,-23.12,-134.97,74.71,85,100,17.09,PF,1603753475
22,Santa Lucía,27.91,-15.54,71.6,68,75,16.11,ES,1603753475
23,New Norfolk,-42.78,147.06,55.99,60,99,1.99,AU,1603753475
24,Lagoa,39.05,-27.98,68.07,92,100,23.69,PT,1603753475
25,Mataura,-46.19,168.86,54.0,73,87,3.0,NZ,1603753141
26,Butaritari,3.07,172.79,81.72,67,77,9.82,KI,1603753130
27,Hobart,-42.88,147.33,55.99,50,75,8.05,AU,1603752860
28,Sitka,57.05,-135.33,47.64,87,100,6.08,US,1603753010
29,Keflavik,64.0,-22.56,39.2,80,75,21.92,IS,1603753476
30,Lázaro Cárdenas,17.96,-102.2,84.02,81,100,9.24,MX,1603753201
31,Verkhnyaya Inta,65.98,60.31,13.32,92,12,4.59,RU,1603753476
32,Port Alfred,-33.59,26.89,66.27,85,90,25.5,ZA,1603753133
33,Nikolskoye,59.7,30.79,48.2,87,90,6.71,RU,1603752973
34,Poum,-20.23,164.02,76.77,73,0,10.13,NC,1603753192
35,Saint George,37.1,-113.58,51.01,9,1,32.21,US,1603753133
36,Kutum,14.2,24.67,70.39,23,28,9.51,SD,1603753148
37,Ushuaia,-54.8,-68.3,51.8,50,20,16.11,AR,1603753138
38,Guangyuan,32.44,105.82,59.0,82,100,8.99,CN,1603753477
39,Narsaq,60.92,-46.05,41.0,30,95,12.75,GL,1603753141
40,Tuatapere,-46.13,167.68,54.0,73,89,3.0,NZ,1603753141
41,Hilo,19.73,-155.09,78.8,83,90,5.82,US,1603753131
42,Maltahöhe,-24.83,16.98,68.79,26,24,7.76,NA,1603753477
43,Nantucket,41.28,-70.1,59.0,87,90,10.29,US,1603753267
44,Chegdomyn,51.12,133.02,32.14,84,98,1.28,RU,1603753478
45,Sørland,67.67,12.69,46.4,81,75,18.34,NO,1603753478
46,Hithadhoo,-0.6,73.08,83.08,65,65,7.4,MV,1603753132
47,Barrow,71.29,-156.79,19.4,85,90,5.82,US,1603752901
48,São Filipe,14.9,-24.5,80.56,77,100,6.96,CV,1603753129
49,Brewster,41.4,-73.62,55.0,93,90,4.7,US,1603753478
50,Longyearbyen,78.22,15.64,24.8,79,75,10.29,SJ,1603752910
51,Ashtian,34.52,50.0,39.67,67,0,2.84,IR,1603753479
52,Jalu,29.03,21.55,67.64,56,2,4.23,LY,1603753479
53,Neijiang,29.58,105.06,61.18,75,100,4.92,CN,1603753479
54,Fairbanks,64.84,-147.72,28.99,86,90,4.18,US,1603753021
55,Kattivākkam,13.22,80.32,78.8,94,40,3.36,IN,1603753479
56,Hermanus,-34.42,19.23,64.0,86,54,5.01,ZA,1603752954
57,Bubaque,11.28,-15.83,82.54,83,0,13.62,GW,1603753039
58,Kapaa,22.08,-159.32,82.4,69,75,4.7,US,1603752987
59,Dumas,35.87,-101.97,19.99,85,90,17.22,US,1603753479
60,Artyom,40.47,50.33,60.8,93,75,6.93,AZ,1603753480
61,Thompson,55.74,-97.86,30.2,46,40,6.93,CA,1603753120
62,Sobolevo,54.43,31.9,43.99,91,65,9.64,RU,1603753223
63,Palmer,42.16,-72.33,50.0,93,90,5.82,US,1603753480
64,Lorengau,-2.02,147.27,81.46,79,100,5.88,PG,1603753143
65,Katsuura,35.13,140.3,62.6,63,75,12.75,JP,1603752968
66,Bouna,9.27,-3.0,77.05,52,65,2.75,CI,1603753480
67,Avarua,-21.21,-159.78,75.2,69,100,19.46,CK,1603752969
68,Río Gallegos,-51.62,-69.22,59.0,15,20,21.92,AR,1603753293
69,Iqaluit,63.75,-68.51,15.8,85,90,4.7,CA,1603753121
70,Qaanaaq,77.48,-69.36,8.02,75,78,9.15,GL,1603752960
71,Fertőrákos,47.72,16.65,51.8,81,90,4.7,HU,1603753481
72,Chokurdakh,70.63,147.92,4.48,95,99,10.33,RU,1603753141
73,Hofn,64.25,-15.21,36.54,78,4,10.74,IS,1603753196
74,Klaksvík,62.23,-6.59,37.4,67,27,3.36,FO,1603753172
75,‘Āhuimanu,21.44,-157.84,84.2,70,40,6.93,US,1603753415
76,Rio Grande,-32.03,-52.1,64.0,98,100,5.99,BR,1603752987
77,Nioro,13.35,-15.75,78.96,52,0,5.61,GM,1603753216
78,Belyy Yar,53.6,91.39,39.2,93,0,6.71,RU,1603753481
79,Abu Samrah,35.3,37.18,69.12,23,0,11.5,SY,1603753482
80,Omboué,-1.57,9.26,76.12,89,83,7.4,GA,1603753482
81,Kulhudhuffushi,6.62,73.07,82.08,76,37,7.49,MV,1603753482
82,Shache,38.42,77.24,39.24,62,95,2.26,CN,1603753482
83,Chimbote,-9.09,-78.58,63.5,84,99,8.61,PE,1603753362
